تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/11/30,19:30,لیگ نخبگان آسیا,2024-2025,هفته 8,الریان,2,0,2,3,0,https://video.varzesh3.com/video/368661/خلاصه-بازی-الریان-0-استقلال-2-گزارش-اختصاصی
1403/12/04,18:34,لیگ برتر ایران,1403-1404,هفته 20,نساجی مازندران,1,0,1,3,1,https://video.varzesh3.com/video/369060/خلاصه-بازی-استقلال-1-نساجی-مازندران-0
1403/12/09,17:15,لیگ برتر ایران,1403-1404,هفته 21,پرسپولیس,1,2,-1,0,0,https://video.varzesh3.com/video/369528/خلاصه-بازی-پرسپولیس-2-استقلال-1
1403/12/13,19:30,لیگ نخبگان آسیا,2024-2025,یک هشتم نهایی,النصر,0,0,0,1,1,https://video.varzesh3.com/video/369881/خلاصه-بازی-استقلال-ایران-0-النصر-عربستان-0-گزارش-اختصاصی
1403/12/20,21:30,لیگ نخبگان آسیا,2024-2025,یک هشتم نهایی,النصر,0,3,-3,0,0,https://video.varzesh3.com/video/370483/خلاصه-بازی-النصر-عربستان-3-استقلال-ایران-0-گزارش-اختصاصی
1403/12/26,19:00,لیگ برتر ایران,1403-1404,هفته 23,ذوب آهن,1,1,0,1,0,https://video.varzesh3.com/video/370945/خلاصه-بازی-ذوب-آهن-1-استقلال-1
1404/01/09,19:15,لیگ برتر ایران,1403-1404,هفته 24,خیبر خرم آباد,1,1,0,1,1,https://video.varzesh3.com/video/371887/خلاصه-بازی-استقلال-1-خیبر-خرم-آباد-1
1404/01/15,18:25,لیگ برتر ایران,1403-1404,هفته 25,تراکتور,1,2,-1,0,0,https://video.varzesh3.com/video/372365/خلاصه-بازی-تراکتور-2-استقلال-1
1404/01/21,18:00,لیگ برتر ایران,1403-1404,هفته 26,فولاد,0,1,-1,0,1,https://video.varzesh3.com/video/372828/خلاصه-بازی-استقلال-0-فولاد-خوزستان-1
1404/01/27,18:00,لیگ برتر ایران,1403-1404,هفته 27,گل گهر سیرجان,1,1,0,1,0,https://video.varzesh3.com/video/373350/خلاصه-بازی-گل-گهر-سیرجان-1-استقلال-1
1404/02/01,18:00,لیگ برتر ایران,1403-1404,هفته 22,هوادار,2,2,0,1,1,https://video.varzesh3.com/video/373824/خلاصه-بازی-استقلال-2-هوادار-2
1404/02/06,18:00,جام حذفی ایران,,یک چهارم نهایی,پیکان,1,0,1,3,1,https://video.varzesh3.com/video/374332/خلاصه-بازی-استقلال-1-پیکان-0
1404/02/12,18:15,لیگ برتر ایران,1403-1404,هفته 28,آلومینیوم اراک,5,1,4,3,1,https://video.varzesh3.com/video/374926/خلاصه-بازی-استقلال-5-آلومینیوم-1
1404/02/18,19:30,لیگ برتر ایران,1403-1404,هفته 29,چادرملو اردکان,0,0,0,1,1,https://video.varzesh3.com/video/375611/خلاصه-بازی-استقلال-0-چادرملو-0
1404/02/25,18:00,لیگ برتر ایران,1403-1404,هفته 30,سپاهان,1,3,-2,0,0,https://video.varzesh3.com/video/376388/خلاصه-بازی-سپاهان-3-استقلال-1
1404/03/03,19:45,جام حذفی ایران,,نیمه نهایی,صنعت نفت آبادان,2,0,2,3,1,https://video.varzesh3.com/video/377317/خلاصه-بازی-استقلال-2-صنعت-نفت-آبادان-0
