تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/08/06,18:15,لیگ برتر ایران,1403-1404,هفته 9,سپاهان,2,2,0,1,1,https://video.varzesh3.com/video/357041/خلاصه-بازی-فولاد-2-سپاهان-2
1403/08/11,17:30,لیگ برتر ایران,1403-1404,هفته 10,گل گهر سیرجان,1,0,1,3,0,https://video.varzesh3.com/video/357622/خلاصه-بازی-گل-گهر-0-فولاد-1
1403/09/04,17:45,جام حذفی ایران,,یک شانزدهم نهایی,فولاد هرمزگان,1,1,0,1,1,https://video.varzesh3.com/video/359749/خلاصه-بازی-فولادخوزستان-1-4-فولاد-هرمزگان-1-3
1403/09/17,19:00,لیگ برتر ایران,1403-1404,هفته 11,استقلال,0,2,-2,0,1,https://video.varzesh3.com/video/360995/خلاصه-بازی-فولاد-0-استقلال-2
1403/09/23,15:30,لیگ برتر ایران,1403-1404,هفته 12,شمس آذر قزوین,3,0,3,3,0,https://video.varzesh3.com/video/361575/خلاصه-بازی-شمس-آذر-0-فولاد-3
1403/09/29,16:45,لیگ برتر ایران,1403-1404,هفته 13,چادرملو اردکان,2,1,1,3,1,https://video.varzesh3.com/video/362162/خلاصه-بازی-فولاد-2-چادرملو-اردکان-1
1403/10/06,15:31,لیگ برتر ایران,1403-1404,هفته 14,استقلال خوزستان,0,0,0,1,0,https://video.varzesh3.com/video/362868/خلاصه-بازی-استقلال-خوزستان-0-فولاد-0
1403/10/13,15:30,لیگ برتر ایران,1403-1404,هفته 15,ملوان,2,1,1,3,1,https://video.varzesh3.com/video/363655/خلاصه-بازی-فولاد-2-ملوان-1
1403/11/02,17:00,لیگ برتر ایران,1403-1404,هفته 16,نساجی مازندران,1,0,1,3,1,https://video.varzesh3.com/video/365691/خلاصه-بازی-فولاد-1-نساجی-مازندران-0
1403/11/07,17:45,لیگ برتر ایران,1403-1404,هفته 17,مس رفسنجان,3,2,1,3,0,https://video.varzesh3.com/video/366248/خلاصه-بازی-مس-رفسنجان-2-فولاد-3
1403/11/12,16:00,لیگ برتر ایران,1403-1404,هفته 18,پرسپولیس,1,1,0,1,1,https://video.varzesh3.com/video/366766/خلاصه-بازی-فولاد-1-پرسپولیس-1
1403/11/19,15:00,لیگ برتر ایران,1403-1404,هفته 19,خیبر خرم آباد,0,2,-2,0,0,https://video.varzesh3.com/video/367559/خلاصه-بازی-خیبر-خرم-آباد-2-فولاد-0
1403/11/25,15:30,جام حذفی ایران,,یک هشتم نهایی,پیکان,2,3,-1,0,0,
1403/12/03,16:00,لیگ برتر ایران,1403-1404,هفته 20,هوادار,3,0,3,3,1,https://video.varzesh3.com/video/368910/خلاصه-بازی-فولاد-3-هوادار-0
1403/12/10,15:00,لیگ برتر ایران,1403-1404,هفته 21,ذوب آهن,0,3,-3,0,0,https://video.varzesh3.com/video/369613/خلاصه-بازی-ذوب-آهن-3-فولاد-خوزستان-0
1403/12/24,19:15,لیگ برتر ایران,1403-1404,هفته 23,آلومینیوم اراک,2,0,2,3,1,https://video.varzesh3.com/video/370786/خلاصه-بازی-فولاد-خوزستان-2-آلومینیوم-اراک-0
1404/01/10,19:15,لیگ برتر ایران,1403-1404,هفته 24,سپاهان,0,2,-2,0,0,https://video.varzesh3.com/video/372066/خلاصه-بازی-سپاهان-2-فولاد-0
1404/01/15,18:00,لیگ برتر ایران,1403-1404,هفته 25,گل گهر سیرجان,1,1,0,1,1,https://video.varzesh3.com/video/372358/خلاصه-بازی-فولاد-1-گل-گهر-سیرجان-1
1404/01/21,18:00,لیگ برتر ایران,1403-1404,هفته 26,استقلال,1,0,1,3,0,https://video.varzesh3.com/video/372828/خلاصه-بازی-استقلال-0-فولاد-خوزستان-1
1404/01/29,19:30,لیگ برتر ایران,1403-1404,هفته 27,شمس آذر قزوین,1,0,1,3,1,https://video.varzesh3.com/video/373617/خلاصه-بازی-فولاد-خوزستان-1-شمس-آذر-قزوین-0
1404/02/05,19:30,لیگ برتر ایران,1403-1404,هفته 22,تراکتور,1,2,-1,0,1,https://video.varzesh3.com/video/374209/خلاصه-بازی-فولاد-0-تراکتور-1
1404/02/11,19:15,لیگ برتر ایران,1403-1404,هفته 28,چادرملو اردکان,1,1,0,1,0,https://video.varzesh3.com/video/374798/خلاصه-بازی-چادرملو-1-فولاد-1
1404/02/18,19:30,لیگ برتر ایران,1403-1404,هفته 29,استقلال خوزستان,2,1,1,3,1,https://video.varzesh3.com/video/375614/خلاصه-بازی-فولاد-2-استقلال-خوزستان-1
1404/02/25,18:00,لیگ برتر ایران,1403-1404,هفته 30,ملوان,1,1,0,1,0,https://video.varzesh3.com/video/376390/خلاصه-بازی-ملوان-1-فولاد-1
1402/11/19,16:00,جام حذفی ایران,1402-1403,یک شانزدهم نهایی,چادرملو اردکان,0,1,-1,0,1,https://video.varzesh3.com/video/324158/خلاصه-بازی-فولاد-0-چادرملو-اردکان-1
1402/11/25,15:00,لیگ برتر ایران,1402-1403,هفته 16,گل گهر سیرجان,0,1,-1,0,1,https://video.varzesh3.com/video/324630/خلاصه-بازی-فولاد-0-گل-گهر-سیرجان-1
1402/12/03,16:00,لیگ برتر ایران,1402-1403,هفته 17,صنعت نفت آبادان,2,0,2,3,0,https://video.varzesh3.com/video/325386/خلاصه-بازی-صنعت-نفت-آبادان-0-فولاد-2
1402/12/08,16:00,لیگ برتر ایران,1402-1403,هفته 18,ملوان,1,1,0,1,1,https://video.varzesh3.com/video/325860/خلاصه-بازی-فولاد-1-ملوان-1
1402/12/18,17:30,لیگ برتر ایران,1402-1403,هفته 19,پرسپولیس,2,4,-2,0,0,https://video.varzesh3.com/video/326817/خلاصه-بازی-پرسپولیس-4-فولاد-2
1402/12/23,19:00,لیگ برتر ایران,1402-1403,هفته 20,سپاهان,1,3,-2,0,1,https://video.varzesh3.com/video/327307/خلاصه-بازی-فولاد-1-سپاهان-3
1402/12/27,19:00,لیگ برتر ایران,1402-1403,هفته 21,استقلال خوزستان,0,0,0,1,0,https://video.varzesh3.com/video/327720/خلاصه-بازی-استقلال-خوزستان-0-فولاد-0
1403/01/19,19:15,لیگ برتر ایران,1402-1403,هفته 22,هوادار,3,3,0,1,1,https://video.varzesh3.com/video/329239/خلاصه-بازی-فولاد-خوزستان-3-هوادار-3
1403/01/24,17:00,لیگ برتر ایران,1402-1403,هفته 23,شمس آذر قزوین,0,1,-1,0,0,https://video.varzesh3.com/video/329726/خلاصه-بازی-شمس-آذر-1-فولاد-0
1403/01/31,18:10,لیگ برتر ایران,1402-1403,هفته 24,مس رفسنجان,0,1,-1,0,1,https://video.varzesh3.com/video/330450/خلاصه-بازی-فولاد-0-مس-رفسنجان-1
1403/02/12,18:15,لیگ برتر ایران,1402-1403,هفته 25,آلومینیوم اراک,1,1,0,1,0,https://video.varzesh3.com/video/331603/خلاصه-بازی-آلومینیوم-اراک-1-فولاد-1
1403/02/17,19:30,لیگ برتر ایران,1402-1403,هفته 26,تراکتور,0,2,-2,0,1,https://video.varzesh3.com/video/332022/خلاصه-بازی-فولاد-0-تراکتور-2
1403/02/24,19:30,لیگ برتر ایران,1402-1403,هفته 27,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/332686/خلاصه-بازی-استقلال-1-فولاد-0
1403/03/04,19:45,لیگ برتر ایران,1402-1403,هفته 28,ذوب آهن,1,0,1,3,1,https://video.varzesh3.com/video/333604/خلاصه-بازی-فولاد-1-ذوب-آهن-0
1403/03/08,20:00,لیگ برتر ایران,1402-1403,هفته 29,پیکان,2,2,0,1,1,https://video.varzesh3.com/video/334065/خلاصه-بازی-فولاد-2-پیکان-2
1403/03/12,19:00,لیگ برتر ایران,1402-1403,هفته 30,نساجی مازندران,1,0,1,3,0,https://video.varzesh3.com/video/334510/خلاصه-بازی-نساجی-0-فولاد-1
1403/05/26,19:30,لیگ برتر ایران,1403-1404,هفته 1,نساجی مازندران,1,0,1,3,0,https://video.varzesh3.com/video/350319/خلاصه-بازی-نساجی-0-فولاد-1
1403/06/01,20:30,لیگ برتر ایران,1403-1404,هفته 2,مس رفسنجان,0,0,0,1,1,https://video.varzesh3.com/video/350924/خلاصه-بازی-فولاد-0-مس-رفسنجان-0
1403/06/09,19:30,لیگ برتر ایران,1403-1404,هفته 3,پرسپولیس,0,2,-2,0,0,https://video.varzesh3.com/video/351733/خلاصه-بازی-پرسپولیس-2-فولاد-خوزستان-0
