تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/10/07,17:30,لیگ برتر ایران,1403-1404,هفته 14,خیبر خرم آباد,2,1,1,3,1,https://video.varzesh3.com/video/363036/خلاصه-بازی-پرسپولیس-2-خیبر-خرم-آباد-1
1403/10/12,17:30,لیگ برتر ایران,1403-1404,هفته 15,هوادار,5,0,5,3,0,https://video.varzesh3.com/video/363528/خلاصه-بازی-هوادار-0-پرسپولیس-5
1403/10/28,15:00,سوپرجام ایران,1403,فینال,سپاهان,0,1,-1,0,0,https://video.varzesh3.com/video/365178/خلاصه-بازی-سپاهان-1-پرسپولیس-0-سوپرجام-ایران
1403/11/02,16:45,لیگ برتر ایران,1403-1404,هفته 16,ذوب آهن,0,0,0,1,0,https://video.varzesh3.com/video/365685/خلاصه-بازی-ذوب-آهن-0-پرسپولیس-0
1403/11/07,15:00,لیگ برتر ایران,1403-1404,هفته 17,تراکتور,2,0,2,3,1,https://video.varzesh3.com/video/366220/خلاصه-بازی-پرسپولیس-2-تراکتور-0
1403/11/12,16:00,لیگ برتر ایران,1403-1404,هفته 18,فولاد,1,1,0,1,0,https://video.varzesh3.com/video/366766/خلاصه-بازی-فولاد-1-پرسپولیس-1
1403/11/16,21:30,لیگ نخبگان آسیا,2024-2025,هفته 7,الهلال,1,4,-3,0,0,https://video.varzesh3.com/video/367259/خلاصه-بازی-الهلال-4-پرسپولیس-1-گزارش-اختصاصی
1403/11/20,17:00,لیگ برتر ایران,1403-1404,هفته 19,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/367715/خلاصه-بازی-پرسپولیس-1-گل-گهرسیرجان-0
1403/11/24,15:30,جام حذفی ایران,,یک هشتم نهایی,سپاهان,2,3,-1,0,0,https://video.varzesh3.com/video/368051/خلاصه-بازی-سپاهان-3-پرسپولیس-2
1403/11/29,19:30,لیگ نخبگان آسیا,2024-2025,هفته 8,النصر,0,0,0,1,1,https://video.varzesh3.com/video/368549/خلاصه-بازی-پرسپولیس-0-النصر-0-گزارش-اختصاصی
