تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/10/07,18:00,لیگ برتر ایران,1403-1404,هفته 14,هوادار,5,0,5,3,1,https://video.varzesh3.com/video/363053/خلاصه-بازی-سپاهان-5-هوادار-0
1403/10/13,18:00,لیگ برتر ایران,1403-1404,هفته 15,استقلال,1,1,0,1,0,https://video.varzesh3.com/video/363734/خلاصه-بازی-استقلال-1-سپاهان-1
1403/10/28,15:00,سوپرجام ایران,1403,فینال,پرسپولیس,1,0,1,3,1,https://video.varzesh3.com/video/365178/خلاصه-بازی-سپاهان-1-پرسپولیس-0-سوپرجام-ایران
1403/11/02,15:00,لیگ برتر ایران,1403-1404,هفته 16,چادرملو اردکان,2,1,1,3,0,https://video.varzesh3.com/video/365647/خلاصه-بازی-چادرملو-اردکان-2-سپاهان-2
1403/11/07,18:00,لیگ برتر ایران,1403-1404,هفته 17,خیبر خرم آباد,2,0,2,3,1,https://video.varzesh3.com/video/366251/خلاصه-بازی-سپاهان-2-خیبر-خرم-آباد-0
1403/11/13,15:45,لیگ برتر ایران,1403-1404,هفته 18,شمس آذر قزوین,1,1,0,1,0,https://video.varzesh3.com/video/366895/خلاصه-بازی-شمس-آذر-1-سپاهان-1
1403/11/19,16:00,لیگ برتر ایران,1403-1404,هفته 19,ملوان,1,1,0,1,0,https://video.varzesh3.com/video/367565/خلاصه-بازی-ملوان-1-سپاهان-1
1403/11/24,15:30,جام حذفی ایران,,یک هشتم نهایی,پرسپولیس,3,2,1,3,1,https://video.varzesh3.com/video/368051/خلاصه-بازی-سپاهان-3-پرسپولیس-2
1403/12/03,15:00,لیگ برتر ایران,1403-1404,هفته 20,ذوب آهن,4,1,3,3,1,https://video.varzesh3.com/video/368904/خلاصه-بازی-سپاهان-4-ذوب-آهن-1
1403/12/09,14:30,لیگ برتر ایران,1403-1404,هفته 21,تراکتور,0,0,0,1,0,https://video.varzesh3.com/video/369485/خلاصه-بازی-تراکتور-0-سپاهان-0
1403/12/16,19:00,لیگ برتر ایران,1403-1404,هفته 22,استقلال خوزستان,1,1,0,1,1,https://video.varzesh3.com/video/370156/خلاصه-بازی-سپاهان-1-استقلال-خوزستان-1
1403/12/23,19:00,لیگ برتر ایران,1403-1404,هفته 23,نساجی مازندران,1,1,0,1,0,https://video.varzesh3.com/video/370702/خلاصه-بازی-نساجی-مازندران-1-سپاهان-1
1404/01/10,19:15,لیگ برتر ایران,1403-1404,هفته 24,فولاد,2,0,2,3,1,https://video.varzesh3.com/video/372066/خلاصه-بازی-سپاهان-2-فولاد-0
1404/01/16,18:00,لیگ برتر ایران,1403-1404,هفته 25,آلومینیوم اراک,1,1,0,1,0,https://video.varzesh3.com/video/372467/خلاصه-بازی-آلومینیوم-1-سپاهان-1
1404/01/22,17:45,لیگ برتر ایران,1403-1404,هفته 26,مس رفسنجان,1,0,1,3,1,https://video.varzesh3.com/video/372945/خلاصه-بازی-سپاهان-1-مس-رفسنجان-0
1404/01/29,18:00,لیگ برتر ایران,1403-1404,هفته 27,پرسپولیس,2,0,2,3,0,https://video.varzesh3.com/video/373591/خلاصه-بازی-پرسپولیس-0-سپاهان-2
1404/02/06,16:30,جام حذفی ایران,,یک چهارم نهایی,ملوان,0,0,0,1,0,https://video.varzesh3.com/video/374327/خلاصه-بازی-ملوان-0-4-سپاهان-0-2
1404/02/12,19:30,لیگ برتر ایران,1403-1404,هفته 28,گل گهر سیرجان,1,2,-1,0,1,https://video.varzesh3.com/video/374949/خلاصه-بازی-سپاهان-1-گل-گهر-سیرجان-2
1404/02/18,19:30,لیگ برتر ایران,1403-1404,هفته 29,هوادار,1,1,0,1,0,https://video.varzesh3.com/video/375620/خلاصه-بازی-هوادار-1-سپاهان-1
1404/02/25,18:00,لیگ برتر ایران,1403-1404,هفته 30,استقلال,3,1,2,3,1,https://video.varzesh3.com/video/376388/خلاصه-بازی-سپاهان-3-استقلال-1
1404/04/31,17:30,دوستانه,باشگاهی,,المرخیه,6,1,5,3,0,
1404/05/04,17:30,دوستانه,باشگاهی,,استقلال,1,1,0,1,0,
1404/05/04,18:00,دوستانه,باشگاهی,,استقلال,1,1,0,1,1,
1404/05/21,19:30,لیگ نخبگان آسیا,,پلی آف,الدحیل,2,3,-1,0,0,https://video.varzesh3.com/video/381989/خلاصه-بازی-الدحیل-3-سپاهان-2-گزارش-اختصاصی
1403/03/12,19:00,لیگ برتر ایران,1402-1403,هفته 30,شمس آذر قزوین,4,1,3,3,1,https://video.varzesh3.com/video/334511/خلاصه-بازی-سپاهان-4-شمس-آذر-قزوین-1
1403/03/26,19:45,جام حذفی ایران,1402-1403,نیمه نهایی,گل گهر سیرجان,2,1,1,3,1,https://video.varzesh3.com/video/345597/خلاصه-بازی-سپاهان-2-گل-گهر-1
1403/03/31,17:45,جام حذفی ایران,1402-1403,فینال,مس رفسنجان,2,0,2,3,0,https://video.varzesh3.com/video/345941/خلاصه-بازی-مس-رفسنجان-0-سپاهان-2
1403/05/16,19:45,لیگ نخبگان آسیا,2024-2025,مقدماتی,شباب الاهلی امارات,1,4,-3,0,1,https://video.varzesh3.com/video/349273/خلاصه-بازی-سپاهان-1-شباب-الاهلی-4
1403/05/26,19:15,لیگ برتر ایران,1403-1404,هفته 1,چادرملو اردکان,3,1,2,3,1,https://video.varzesh3.com/video/350309/خلاصه-بازی-سپاهان-3-چادرملو-1
1403/06/02,19:30,لیگ برتر ایران,1403-1404,هفته 2,خیبر خرم آباد,2,1,1,3,0,https://video.varzesh3.com/video/351039/خلاصه-بازی-خیبر-خرم-آباد-1-سپاهان-2
1403/06/09,19:15,لیگ برتر ایران,1403-1404,هفته 3,شمس آذر قزوین,1,0,1,3,1,https://video.varzesh3.com/video/351725/خلاصه-بازی-سپاهان-1-شمس-آذر-قزوین-0
1403/06/23,18:45,لیگ برتر ایران,1403-1404,هفته 4,ملوان,1,0,1,3,1,https://video.varzesh3.com/video/352807/خلاصه-بازی-سپاهان-1-ملوان-0
1403/06/27,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 1,الوحدات اردن,1,2,-1,0,0,https://video.varzesh3.com/video/353253/خلاصه-بازی-الوحدات-اردن-2-سپاهان-ایران-1
1403/07/01,19:00,لیگ برتر ایران,1403-1404,هفته 5,ذوب آهن,1,1,0,1,0,https://video.varzesh3.com/video/353777/خلاصه-بازی-ذوب-آهن-1-سپاهان-1
1403/07/06,18:30,لیگ برتر ایران,1403-1404,هفته 6,تراکتور,0,1,-1,0,1,https://video.varzesh3.com/video/354285/خلاصه-بازی-سپاهان-0-تراکتور-1
1403/07/10,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 2,استقلال تاجیکستان,4,0,4,3,1,https://video.varzesh3.com/video/354676/خلاصه-بازی-سپاهان-ایران-4-استقلال-تاجیکستان-0
1403/07/14,19:00,لیگ برتر ایران,1403-1404,هفته 7,استقلال خوزستان,1,0,1,3,0,https://video.varzesh3.com/video/355047/خلاصه-بازی-استقلال-خوزستان-0-سپاهان-1
1403/08/01,17:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 3,شارجه امارات,1,3,-2,0,0,https://video.varzesh3.com/video/356486/خلاصه-بازی-شارجه-امارات-3-سپاهان-ایران-1-گزارش-اختصاصی
1403/08/06,18:15,لیگ برتر ایران,1403-1404,هفته 9,فولاد,2,2,0,1,0,https://video.varzesh3.com/video/357041/خلاصه-بازی-فولاد-2-سپاهان-2
1403/08/11,17:45,لیگ برتر ایران,1403-1404,هفته 10,آلومینیوم اراک,1,0,1,3,1,https://video.varzesh3.com/video/357628/خلاصه-سپاهان-1-آلومینیوم-0
1403/08/15,21:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 4,شارجه امارات,3,1,2,3,1,https://video.varzesh3.com/video/358065/خلاصه-بازی-سپاهان-3-شارجه-1-گزارش-اختصاصی
1403/08/19,18:00,لیگ برتر ایران,1403-1404,هفته 8,نساجی مازندران,1,1,0,1,1,https://video.varzesh3.com/video/358423/خلاصه-بازی-سپاهان-1-نساجی-1
1403/09/02,17:45,جام حذفی ایران,,یک شانزدهم نهایی,پارس جنوبی جم,2,0,2,3,0,https://video.varzesh3.com/video/359501/خلاصه-بازی-پارس-جنوبی-جم-0-سپاهان-2
1403/09/06,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 5,الوحدات اردن,1,1,0,1,1,https://video.varzesh3.com/video/359926/خلاصه-بازی-سپاهان-1-الوحدات-اردن-1-گزارش-اختصاصی
1403/09/13,17:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 6,استقلال تاجیکستان,2,0,2,3,0,https://video.varzesh3.com/video/360569/خلاصه-بازی-استقلال-تاجیکستان-0-سپاهان-2-گزارش-اختصاصی
1403/09/18,17:30,لیگ برتر ایران,1403-1404,هفته 11,مس رفسنجان,3,0,3,3,0,https://video.varzesh3.com/video/361087/خلاصه-بازی-مس-رفسنجان-0-سپاهان-3
1403/09/26,15:15,لیگ برتر ایران,1403-1404,هفته 12,پرسپولیس,2,1,1,3,1,https://video.varzesh3.com/video/361896/خلاصه-بازی-سپاهان-2-پرسپولیس-1
1403/10/01,16:15,لیگ برتر ایران,1403-1404,هفته 13,گل گهر سیرجان,1,1,0,1,0,https://video.varzesh3.com/video/362394/خلاصه-بازی-گل-گهر-1-سپاهان-1
1402/09/23,15:00,لیگ برتر ایران,1402-1403,هفته 5,فولاد,3,1,2,3,1,https://video.varzesh3.com/video/319406/خلاصه-بازی-سپاهان-3-فولاد-1
1402/09/28,14:00,لیگ برتر ایران,1402-1403,هفته 13,هوادار,5,0,5,3,0,https://video.varzesh3.com/video/319845/خلاصه-بازی-هوادار-0-سپاهان-5
1402/10/03,15:30,لیگ برتر ایران,1402-1403,هفته 14,آلومینیوم اراک,0,1,-1,0,1,https://video.varzesh3.com/video/320306/خلاصه-بازی-سپاهان-0-آلومینیوم-اراک-1
1402/10/07,15:00,لیگ برتر ایران,1402-1403,هفته 6,گل گهر سیرجان,1,3,-2,0,0,https://video.varzesh3.com/video/320623/خلاصه-بازی-گل-گهر-3-سپاهان-1
1402/10/11,15:30,لیگ برتر ایران,1402-1403,هفته 15,شمس آذر قزوین,0,1,-1,0,0,https://video.varzesh3.com/video/320991/خلاصه-بازی-شمس-آذر-1-سپاهان-0
1402/11/26,19:30,لیگ نخبگان آسیا,2023-2024,یک هشتم نهایی,الهلال,1,3,-2,0,1,https://video.varzesh3.com/video/324803/خلاصه-بازی-سپاهان-1-الهلال-3
1402/12/03,21:30,لیگ نخبگان آسیا,2023-2024,یک هشتم نهایی,الهلال,1,3,-2,0,0,https://video.varzesh3.com/video/325490/خلاصه-بازی-الهلال-3-سپاهان-1
1402/12/08,17:15,لیگ برتر ایران,1402-1403,هفته 18,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/325868/خلاصه-بازی-استقلال-1-سپاهان-0
1402/12/14,17:32,جام حذفی ایران,1402-1403,یک شانزدهم نهایی,شمس آذر قزوین,3,0,3,3,1,https://video.varzesh3.com/video/326403/خلاصه-بازی-سپاهان-3-شمس-آذر-قزوین-0
1402/12/18,16:00,لیگ برتر ایران,1402-1403,هفته 19,پیکان,2,3,-1,0,1,https://video.varzesh3.com/video/326787/خلاصه-بازی-سپاهان-2-پیکان-3
1402/12/23,19:00,لیگ برتر ایران,1402-1403,هفته 20,فولاد,3,1,2,3,0,https://video.varzesh3.com/video/327307/خلاصه-بازی-فولاد-1-سپاهان-3
1402/12/27,18:45,لیگ برتر ایران,1402-1403,هفته 21,گل گهر سیرجان,2,0,2,3,1,https://video.varzesh3.com/video/327711/خلاصه-بازی-سپاهان-1-گل-گهر-0
1403/01/15,19:30,لیگ برتر ایران,1402-1403,هفته 16,تراکتور,0,0,0,1,0,https://video.varzesh3.com/video/328885/خلاصه-بازی-تراکتور-0-سپاهان-0
1403/01/20,19:15,لیگ برتر ایران,1402-1403,هفته 22,صنعت نفت آبادان,1,2,-1,0,0,https://video.varzesh3.com/video/329349/خلاصه-بازی-صنعت-نفت-آبادان-2-سپاهان-1
1403/01/24,17:50,لیگ برتر ایران,1402-1403,هفته 23,نساجی مازندران,0,0,0,1,1,https://video.varzesh3.com/video/329740/خلاصه-بازی-سپاهان-0-نساجی-0
1403/01/29,16:30,لیگ برتر ایران,1402-1403,هفته 17,ذوب آهن,1,0,1,3,1,https://video.varzesh3.com/video/330237/خلاصه-بازی-سپاهان-1-ذوب-آهن-0
1403/02/02,17:00,لیگ برتر ایران,1402-1403,هفته 24,ملوان,2,1,1,3,0,https://video.varzesh3.com/video/330628/خلاصه-بازی-ملوان-1-سپاهان-2
1403/02/07,19:30,جام حذفی ایران,1402-1403,یک هشتم نهایی,پالایش نفت بندرعباس,2,1,1,3,0,https://video.varzesh3.com/video/331131/خلاصه-بازی-استقلال-ملاثانی-1-سپاهان-2
1403/02/12,19:30,لیگ برتر ایران,1402-1403,هفته 25,پرسپولیس,0,0,0,1,0,https://video.varzesh3.com/video/331623/خلاصه-بازی-پرسپولیس-0-سپاهان-0
1403/02/17,18:10,لیگ برتر ایران,1402-1403,هفته 26,استقلال خوزستان,1,1,0,1,1,https://video.varzesh3.com/video/332009/خلاصه-بازی-سپاهان-1-استقلال-خوزستان-1
1403/02/22,17:50,لیگ برتر ایران,1402-1403,هفته 27,مس رفسنجان,1,1,0,1,0,https://video.varzesh3.com/video/332465/خلاصه-بازی-مس-رفسنجان-1-سپاهان-1
