تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/10/13,15:45,لیگ برتر ایران,1403-1404,هفته 15,استقلال خوزستان,3,0,3,3,1,https://video.varzesh3.com/video/363659/خلاصه-بازی-تراکتور-3-استقلال-خوزستان-0
1403/11/02,15:00,لیگ برتر ایران,1403-1404,هفته 16,مس رفسنجان,5,1,4,3,1,https://video.varzesh3.com/video/365660/خلاصه-بازی-تراکتور-5-مس-رفسنجان-1
1403/11/07,15:00,لیگ برتر ایران,1403-1404,هفته 17,پرسپولیس,0,2,-2,0,0,https://video.varzesh3.com/video/366220/خلاصه-بازی-پرسپولیس-2-تراکتور-0
1403/11/13,15:30,لیگ برتر ایران,1403-1404,هفته 18,هوادار,4,0,4,3,1,https://video.varzesh3.com/video/366886/خلاصه-بازی-تراکتور-4-هوادار-0
1403/11/18,16:10,لیگ برتر ایران,1403-1404,هفته 19,ذوب آهن,1,0,1,3,0,https://video.varzesh3.com/video/367419/خلاصه-بازی-ذوب-آهن-0-تراکتور-1
1403/11/23,17:30,لیگ قهرمانان آسیا دو,2024-2025,یک هشتم نهایی,الخالدیه بحرین,2,1,1,3,0,https://video.varzesh3.com/video/367961/خلاصه-بازی-الخالدیه-1-تراکتور-2-گزارش-اختصاصی
1403/11/30,17:30,لیگ قهرمانان آسیا دو,2024-2025,یک هشتم نهایی,الخالدیه بحرین,3,3,0,1,1,https://video.varzesh3.com/video/368641/خلاصه-بازی-تراکتور-3-الخالدیه-3-گزارش-اختصاصی
1403/12/04,16:00,لیگ برتر ایران,1403-1404,هفته 20,خیبر خرم آباد,1,0,1,3,1,https://video.varzesh3.com/video/369026/خلاصه-بازی-تراکتور-1-خیبر-خرم-آباد-0
1403/12/09,14:30,لیگ برتر ایران,1403-1404,هفته 21,سپاهان,0,0,0,1,1,https://video.varzesh3.com/video/369485/خلاصه-بازی-تراکتور-0-سپاهان-0
1403/12/14,19:30,لیگ قهرمانان آسیا دو,2024-2025,یک چهارم نهایی,التعاون,0,0,0,1,1,https://video.varzesh3.com/video/369995/خلاصه-بازی-تراکتور-ایران-0-التعاون-عربستان-0-گزارش-اختصاصی
1403/12/21,23:30,لیگ قهرمانان آسیا دو,2024-2025,یک چهارم نهایی,التعاون,2,2,0,1,0,https://video.varzesh3.com/video/370584/خلاصه-بازی-التعاون-24-تراکتور-22-گزارش-اختصاصی
1403/12/26,19:30,لیگ برتر ایران,1403-1404,هفته 23,گل گهر سیرجان,2,1,1,3,1,https://video.varzesh3.com/video/370951/خلاصه-بازی-تراکتور-2-گل-گهرسیرجان-1
1404/01/09,19:15,لیگ برتر ایران,1403-1404,هفته 24,آلومینیوم اراک,1,0,1,3,0,https://video.varzesh3.com/video/371902/خلاصه-بازی-آلومینیوم-0-تراکتور-1
1404/01/15,18:25,لیگ برتر ایران,1403-1404,هفته 25,استقلال,2,1,1,3,1,https://video.varzesh3.com/video/372365/خلاصه-بازی-تراکتور-2-استقلال-1
1404/01/22,17:45,لیگ برتر ایران,1403-1404,هفته 26,چادرملو اردکان,2,2,0,1,0,https://video.varzesh3.com/video/372941/خلاصه-بازی-چادرملو-اردکان-2-تراکتور-2
1404/01/29,17:00,لیگ برتر ایران,1403-1404,هفته 27,ملوان,3,0,3,3,1,https://video.varzesh3.com/video/373575/خلاصه-بازی-تراکتور-3-ملوان-0
1404/02/05,19:30,لیگ برتر ایران,1403-1404,هفته 22,فولاد,2,1,1,3,0,https://video.varzesh3.com/video/374209/خلاصه-بازی-فولاد-0-تراکتور-1
1404/02/12,19:30,لیگ برتر ایران,1403-1404,هفته 28,شمس آذر قزوین,4,0,4,3,0,https://video.varzesh3.com/video/374948/خلاصه-بازی-شمس-آذر-0-تراکتور-4
1404/02/18,19:30,لیگ برتر ایران,1403-1404,هفته 29,نساجی مازندران,3,3,0,1,1,https://video.varzesh3.com/video/375618/خلاصه-بازی-تراکتور-3-نساجی-3
1404/02/25,20:00,لیگ برتر ایران,1403-1404,هفته 30,استقلال خوزستان,3,1,2,3,0,https://video.varzesh3.com/video/376452/خلاصه-بازی-استقلال-خوزستان-1-تراکتور-3
1404/04/27,17:30,دوستانه,باشگاهی,,سیواس اسپور,4,0,4,3,0,
1404/04/31,18:30,دوستانه,باشگاهی,,گنچلربیرلی,2,0,2,3,0,
1404/05/03,17:30,دوستانه,باشگاهی,,سریک اسپور,2,0,2,3,0,
1404/05/20,19:30,سوپرجام ایران,1404,فینال,استقلال,2,1,1,3,1,https://video.varzesh3.com/video/381907/خلاصه-بازی-تراکتور-2-استقلال-1
1403/02/22,18:50,لیگ برتر ایران,1402-1403,هفته 27,گل گهر سیرجان,2,0,2,3,1,https://video.varzesh3.com/video/332481/خلاصه-بازی-تراکتور-2-گل-گهر-0
1403/02/27,19:00,جام حذفی ایران,1402-1403,یک چهارم نهایی,مس رفسنجان,0,1,-1,0,1,https://video.varzesh3.com/video/332961/خلاصه-بازی-تراکتور-0-مس-رفسنجان-1
1403/03/04,19:45,لیگ برتر ایران,1402-1403,هفته 28,پیکان,0,0,0,1,0,https://video.varzesh3.com/video/333597/خلاصه-بازی-پیکان-0-تراکتور-0
1403/03/08,20:00,لیگ برتر ایران,1402-1403,هفته 29,ملوان,3,1,2,3,1,https://video.varzesh3.com/video/334053/خلاصه-بازی-تراکتور-3-ملوان-1
1403/03/12,19:00,لیگ برتر ایران,1402-1403,هفته 30,صنعت نفت آبادان,3,0,3,3,0,https://video.varzesh3.com/video/334505/خلاصه-بازی-صنعت-نفت-0-تراکتور-3
1403/05/26,19:15,لیگ برتر ایران,1403-1404,هفته 1,مس رفسنجان,2,0,2,3,0,https://video.varzesh3.com/video/350311/خلاصه-بازی-مس-رفسنجان-0-تراکتور-2
1403/06/01,19:45,لیگ برتر ایران,1403-1404,هفته 2,پرسپولیس,1,1,0,1,1,https://video.varzesh3.com/video/350918/خلاصه-بازی-تراکتور-1-پرسپولیس-1
1403/06/08,19:15,لیگ برتر ایران,1403-1404,هفته 3,هوادار,4,0,4,3,0,https://video.varzesh3.com/video/351563/خلاصه-بازی-هوادار-0-تراکتور-4
1403/06/23,19:30,لیگ برتر ایران,1403-1404,هفته 4,ذوب آهن,0,1,-1,0,1,https://video.varzesh3.com/video/352816/خلاصه-بازی-تراکتور-0-ذوب-آهن-1
1403/06/28,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 1,الوکره قطر,3,0,3,3,0,https://video.varzesh3.com/video/353357/خلاصه-بازی-الوکره-قطر-0-تراکتور-ایران-3
1403/07/01,19:00,لیگ برتر ایران,1403-1404,هفته 5,خیبر خرم آباد,2,1,1,3,0,https://video.varzesh3.com/video/353772/خلاصه-بازی-خیبر-خرم-آباد-1-تراکتور-2
1403/07/06,18:30,لیگ برتر ایران,1403-1404,هفته 6,سپاهان,1,0,1,3,0,https://video.varzesh3.com/video/354285/خلاصه-بازی-سپاهان-0-تراکتور-1
1403/07/15,17:30,لیگ برتر ایران,1403-1404,هفته 7,فولاد,1,2,-1,0,1,https://video.varzesh3.com/video/355158/خلاصه-بازی-تراکتور-1-فولاد-2
1403/08/02,17:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 3,روشن تاجیکستان,3,1,2,3,0,https://video.varzesh3.com/video/356592/خلاصه-بازی-روشن-تاجیکستان-1-تراکتور-ایران-3-گزارش-اختصاصی
1403/08/06,17:00,لیگ برتر ایران,1403-1404,هفته 9,آلومینیوم اراک,2,0,2,3,1,https://video.varzesh3.com/video/357024/خلاصه-بازی-تراکتور-2-آلومینیوم-اراک-0
1403/08/10,17:45,لیگ برتر ایران,1403-1404,هفته 10,استقلال,2,0,2,3,0,https://video.varzesh3.com/video/357466/خلاصه-بازی-استقلال-0-تراکتور-2
1403/08/16,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 4,روشن تاجیکستان,7,0,7,3,1,https://video.varzesh3.com/video/358145/خلاصه-بازی-تراکتور-ایران-7-روشن-تاجیکستان-0-گزارش-اختصاصی
1403/09/02,15:00,جام حذفی ایران,,یک شانزدهم نهایی,گل گهر سیرجان,1,2,-1,0,1,https://video.varzesh3.com/video/359466/خلاصه-بازی-تراکتور-1-گل-گهر-سیرجان-2
1403/09/07,19:30,لیگ قهرمانان آسیا دو,2024-2025,هفته 5,الوکره قطر,3,3,0,1,1,https://video.varzesh3.com/video/359994/خلاصه-بازی-تراکتور-3-الوکره-قطر-3-گزارش-اختصاصی
1403/09/13,16:30,لیگ برتر ایران,1403-1404,هفته 11,چادرملو اردکان,1,0,1,3,1,https://video.varzesh3.com/video/360565/خلاصه-بازی-تراکتور-1-چادرملو-0
1403/09/19,17:30,لیگ برتر ایران,1403-1404,هفته 8,گل گهر سیرجان,2,0,2,3,0,https://video.varzesh3.com/video/361184/خلاصه-بازی-گل-گهرسیرجان-0-تراکتور-2
1403/09/26,16:15,لیگ برتر ایران,1403-1404,هفته 12,ملوان,2,0,2,3,0,https://video.varzesh3.com/video/361909/خلاصه-بازی-ملوان-0-تراکتور-2
1403/10/01,15:30,لیگ برتر ایران,1403-1404,هفته 13,شمس آذر قزوین,0,1,-1,0,1,https://video.varzesh3.com/video/362384/خلاصه-بازی-تراکتور-0-شمس-آذر-قزوین-1
1403/10/07,17:30,لیگ برتر ایران,1403-1404,هفته 14,نساجی مازندران,1,1,0,1,0,https://video.varzesh3.com/video/363032/خلاصه-بازی-نساجی-مازندران-1-تراکتور-1
1402/06/29,18:00,لیگ برتر ایران,1402-1403,هفته 5,هوادار,1,0,1,3,0,https://video.varzesh3.com/video/311236/خلاصه-بازی-هوادار-0-تراکتور-1
1402/07/13,17:15,لیگ برتر ایران,1402-1403,هفته 7,آلومینیوم اراک,4,0,4,3,0,https://video.varzesh3.com/video/312770/خلاصه-بازی-آلومینیوم-اراک-0-تراکتور-4
1402/07/29,18:15,لیگ برتر ایران,1402-1403,هفته 6,شمس آذر قزوین,2,3,-1,0,1,https://video.varzesh3.com/video/314174/خلاصه-بازی-تراکتور-2-شمس-آذر-3
1402/08/05,18:00,لیگ برتر ایران,1402-1403,هفته 8,ذوب آهن,0,1,-1,0,0,https://video.varzesh3.com/video/314780/خلاصه-بازی-ذوب-آهن-1-تراکتور-0
1402/08/11,15:30,لیگ برتر ایران,1402-1403,هفته 9,نساجی مازندران,3,0,3,3,1,https://video.varzesh3.com/video/315398/خلاصه-بازی-تراکتور-3-نساجی-0
1402/08/20,16:20,لیگ برتر ایران,1402-1403,هفته 10,استقلال,0,2,-2,0,0,https://video.varzesh3.com/video/316357/خلاصه-بازی-استقلال-2-تراکتور-0
1402/09/04,15:00,لیگ برتر ایران,1402-1403,هفته 11,فولاد,2,0,2,3,1,https://video.varzesh3.com/video/317655/خلاصه-بازی-تراکتور-2-فولاد-0
1402/09/16,15:00,لیگ برتر ایران,1402-1403,هفته 12,گل گهر سیرجان,1,0,1,3,0,https://video.varzesh3.com/video/318722/خلاصه-بازی-گل-گهر-0-تراکتور-1
1402/09/27,15:00,لیگ برتر ایران,1402-1403,هفته 13,پیکان,2,0,2,3,1,https://video.varzesh3.com/video/319720/خلاصه-بازی-تراکتور-2-پیکان-0
1402/10/04,15:00,لیگ برتر ایران,1402-1403,هفته 14,ملوان,0,0,0,1,0,https://video.varzesh3.com/video/320425/خلاصه-بازی-ملوان-0-تراکتور-0
1402/10/09,15:00,لیگ برتر ایران,1402-1403,هفته 15,صنعت نفت آبادان,3,0,3,3,1,https://video.varzesh3.com/video/320787/خلاصه-بازی-تراکتور-3-صنعت-نفت-آبادان-0
1402/11/19,14:00,جام حذفی ایران,1402-1403,یک شانزدهم نهایی,چوکا تالش,3,0,3,3,0,
1402/12/02,17:15,لیگ برتر ایران,1402-1403,هفته 17,پرسپولیس,0,2,-2,0,0,https://video.varzesh3.com/video/325278/خلاصه-بازی-پرسپولیس-2-تراکتور-0
1402/12/09,14:30,لیگ برتر ایران,1402-1403,هفته 18,استقلال خوزستان,2,0,2,3,1,https://video.varzesh3.com/video/325964/خلاصه-بازی-تراکتور-2-استقلال-خوزستان-0
1402/12/18,15:45,لیگ برتر ایران,1402-1403,هفته 19,مس رفسنجان,1,1,0,1,0,https://video.varzesh3.com/video/326784/خلاصه-بازی-مس-رفسنجان-1-تراکتور-1
1402/12/23,19:00,لیگ برتر ایران,1402-1403,هفته 20,هوادار,4,2,2,3,1,https://video.varzesh3.com/video/327311/خلاصه-بازی-تراکتور-4-هوادار-2
1402/12/27,19:00,لیگ برتر ایران,1402-1403,هفته 21,شمس آذر قزوین,2,0,2,3,0,https://video.varzesh3.com/video/327719/خلاصه-بازی-شمس-آذر-0-تراکتور-2
1403/01/15,19:30,لیگ برتر ایران,1402-1403,هفته 16,سپاهان,0,0,0,1,1,https://video.varzesh3.com/video/328885/خلاصه-بازی-تراکتور-0-سپاهان-0
1403/01/20,19:30,لیگ برتر ایران,1402-1403,هفته 22,آلومینیوم اراک,1,1,0,1,1,https://video.varzesh3.com/video/329351/خلاصه-بازی-تراکتور-1-آلومینیوم-1
1403/01/24,17:00,لیگ برتر ایران,1402-1403,هفته 23,ذوب آهن,1,4,-3,0,1,https://video.varzesh3.com/video/329729/خلاصه-بازی-تراکتور-1-ذوب-آهن-4
1403/01/31,16:30,لیگ برتر ایران,1402-1403,هفته 24,نساجی مازندران,0,1,-1,0,0,https://video.varzesh3.com/video/330426/خلاصه-بازی-نساجی-1-تراکتور-0
1403/02/07,18:30,جام حذفی ایران,1402-1403,یک هشتم نهایی,ذوب آهن,1,1,0,1,1,https://video.varzesh3.com/video/331115/خلاصه-بازی-تراکتور-1-3-ذوب-آهن-1-1
1403/02/12,17:00,لیگ برتر ایران,1402-1403,هفته 25,استقلال,0,0,0,1,1,https://video.varzesh3.com/video/331584/خلاصه-بازی-تراکتور-0-استقلال-0
1403/02/17,19:30,لیگ برتر ایران,1402-1403,هفته 26,فولاد,2,0,2,3,0,https://video.varzesh3.com/video/332022/خلاصه-بازی-فولاد-0-تراکتور-2
1401/10/04,14:00,لیگ برتر ایران,1401-1402,هفته 13,مس کرمان,0,0,0,1,1,https://video.varzesh3.com/video/268166/
1401/10/10,15:00,لیگ برتر ایران,1401-1402,هفته 14,نساجی مازندران,0,2,-2,0,0,https://video.varzesh3.com/video/268664/
1401/10/16,14:00,لیگ برتر ایران,1401-1402,هفته 15,استقلال,2,0,2,3,1,https://video.varzesh3.com/video/269186/
1401/10/22,15:00,جام حذفی ایران,1401-1402,یک شانزدهم,استقلال,1,2,-1,0,0,https://video.varzesh3.com/video/269752/
1401/11/01,15:00,لیگ برتر ایران,1401-1402,هفته 16,گل گهر سیرجان,2,2,0,1,1,https://video.varzesh3.com/video/270489/
1401/11/07,14:00,لیگ برتر ایران,1401-1402,هفته 17,ذوب آهن,3,1,2,3,0,https://video.varzesh3.com/video/270946/
1401/11/12,14:00,لیگ برتر ایران,1401-1402,هفته 18,فولاد,1,0,1,3,1,https://video.varzesh3.com/video/271353/
1401/11/19,14:00,لیگ برتر ایران,1401-1402,هفته 19,هوادار,1,0,1,3,0,https://video.varzesh3.com/video/272024/خلاصه-بازی-هوادار-0-تراکتور-1
1401/11/24,15:00,لیگ برتر ایران,1401-1402,هفته 20,آلومینیوم اراک,0,0,0,1,1,https://video.varzesh3.com/video/272438/خلاصه-بازی-تراکتور-0-آلومینیوم-0-گزارش-اختصاصی
1401/12/09,18:00,لیگ برتر ایران,1401-1402,هفته 21,صنعت نفت آبادان,3,1,2,3,0,https://video.varzesh3.com/video/273859/خلاصه-بازی-صنعت-نفت-آبادان-1-تراکتور-3
1401/12/14,16:00,لیگ برتر ایران,1401-1402,هفته 22,پرسپولیس,2,3,-1,0,1,https://video.varzesh3.com/video/274273/خلاصه-بازی-تراکتور-2-پرسپولیس-3
1401/12/20,15:00,لیگ برتر ایران,1401-1402,هفته 23,مس رفسنجان,0,1,-1,0,1,https://video.varzesh3.com/video/274862/خلاصه-بازی-تراکتور-0-مس-رفسنجان-1
1402/01/10,19:15,لیگ برتر ایران,1401-1402,هفته 24,نفت مسجدسلیمان,5,1,4,3,0,https://video.varzesh3.com/video/276289/خلاصه-بازی-نفت-مسجد-سلیمان-1-تراکتور-5
1402/01/18,21:30,لیگ برتر ایران,1401-1402,هفته 25,سپاهان,1,0,1,3,1,https://video.varzesh3.com/video/277151/خلاصه-بازی-تراکتور-1-سپاهان-0
1402/01/26,19:30,لیگ برتر ایران,1401-1402,هفته 26,ملوان,1,1,0,1,0,https://video.varzesh3.com/video/297868/خلاصه-بازی-ملوان-1-تراکتور-1
1402/02/03,15:30,لیگ برتر ایران,1401-1402,هفته 27,پیکان,1,0,1,3,1,https://video.varzesh3.com/video/298596/خلاصه-بازی-تراکتور-1-پیکان-0
1402/02/15,18:00,لیگ برتر ایران,1401-1402,هفته 28,مس کرمان,3,1,2,3,0,https://video.varzesh3.com/video/299810/خلاصه-بازی-مس-کرمان-1-تراکتور-3
1402/02/22,18:00,لیگ برتر ایران,1401-1402,هفته 29,نساجی مازندران,1,0,1,3,1,https://video.varzesh3.com/video/300490/خلاصه-بازی-تراکتور-1-نساجی-مازندران-0
1402/02/28,18:00,لیگ برتر ایران,1401-1402,هفته 30,استقلال,1,7,-6,0,0,https://video.varzesh3.com/video/301121/خلاصه-بازی-استقلال-7-تراکتور-1
1402/05/19,19:00,لیگ برتر ایران,1402-1403,هفته 1,سپاهان,1,3,-2,0,0,https://video.varzesh3.com/video/307412/خلاصه-بازی-سپاهان-3-تراکتور-1
1402/05/25,19:00,لیگ برتر ایران,1402-1403,هفته 2,پرسپولیس,0,1,-1,0,1,https://video.varzesh3.com/video/308014/خلاصه-بازی-تراکتور-0-پرسپولیس-1
1402/05/31,19:30,لیگ نخبگان آسیا,2023-2024,مقدماتی,شارجه امارات,1,3,-2,0,1,https://video.varzesh3.com/video/308531/خلاصه-بازی-تراکتور-1-شارجه-3
1402/06/06,20:00,لیگ برتر ایران,1402-1403,هفته 4,مس رفسنجان,1,0,1,3,1,https://video.varzesh3.com/video/309252/خلاصه-بازی-تراکتور-1-مس-رفسنجان-0
1402/06/11,21:30,لیگ برتر ایران,1402-1403,هفته 3,استقلال خوزستان,1,0,1,3,0,https://video.varzesh3.com/video/309782/خلاصه-بازی-استقلال-خوزستان-0-تراکتور-1
1400/12/04,16:30,لیگ برتر ایران,1400-1401,هفته 19,پیکان,0,0,0,1,0,https://video.varzesh3.com/video/247097/
1400/12/09,14:30,لیگ برتر ایران,1400-1401,هفته 20,سپاهان,2,2,0,1,1,https://video.varzesh3.com/video/247401/
1400/12/15,14:30,لیگ برتر ایران,1400-1401,هفته 21,شهرخودرو مشهد,0,0,0,1,0,https://video.varzesh3.com/video/247739/
1400/12/21,15:00,لیگ برتر ایران,1400-1401,هفته 22,فولاد,1,2,-1,0,1,https://video.varzesh3.com/video/248164/
1400/12/26,15:00,لیگ برتر ایران,1400-1401,هفته 23,آلومینیوم اراک,0,1,-1,0,0,https://video.varzesh3.com/video/248425/
1401/01/14,20:30,لیگ برتر ایران,1400-1401,هفته 24,مس رفسنجان,1,0,1,3,1,https://video.varzesh3.com/video/249300/
1401/02/13,20:30,لیگ برتر ایران,1400-1401,هفته 25,نفت مسجدسلیمان,1,1,0,1,0,https://video.varzesh3.com/video/251079/
1401/02/19,17:30,لیگ برتر ایران,1400-1401,هفته 26,هوادار,3,2,1,3,1,https://video.varzesh3.com/video/251420/
1401/02/24,20:00,لیگ برتر ایران,1400-1401,هفته 27,ذوب آهن,0,0,0,1,0,https://video.varzesh3.com/video/251798/
1401/02/29,19:00,لیگ برتر ایران,1400-1401,هفته 28,پرسپولیس,0,3,-3,0,1,
1401/03/04,20:00,لیگ برتر ایران,1400-1401,هفته 29,فجر سپاسی,2,1,1,3,1,https://video.varzesh3.com/video/252538/
1401/03/10,18:30,لیگ برتر ایران,1400-1401,هفته 30,نساجی مازندران,3,0,3,3,0,
1401/05/22,20:30,لیگ برتر ایران,1401-1402,هفته 1,گل گهر سیرجان,1,2,-1,0,0,https://video.varzesh3.com/video/257367/
1401/05/28,18:30,لیگ برتر ایران,1401-1402,هفته 2,ذوب آهن,1,1,0,1,1,https://video.varzesh3.com/video/257884/
1401/06/04,21:30,لیگ برتر ایران,1401-1402,هفته 3,فولاد,2,3,-1,0,0,https://video.varzesh3.com/video/258497/
1401/06/09,17:45,لیگ برتر ایران,1401-1402,هفته 4,هوادار,0,0,0,1,1,https://video.varzesh3.com/video/258988/
1401/06/14,19:00,لیگ برتر ایران,1401-1402,هفته 5,آلومینیوم اراک,2,0,2,3,0,https://video.varzesh3.com/video/259455/
1401/06/19,17:00,لیگ برتر ایران,1401-1402,هفته 6,صنعت نفت آبادان,1,0,1,3,1,https://video.varzesh3.com/video/259938/
1401/07/10,17:00,لیگ برتر ایران,1401-1402,هفته 7,پرسپولیس,1,0,1,3,0,https://video.varzesh3.com/video/261296/
1401/07/15,18:00,لیگ برتر ایران,1401-1402,هفته 8,مس رفسنجان,0,1,-1,0,0,https://video.varzesh3.com/video/261648/
1401/07/22,16:30,لیگ برتر ایران,1401-1402,هفته 9,نفت مسجدسلیمان,3,2,1,3,1,https://video.varzesh3.com/video/262107/
1401/07/28,15:00,لیگ برتر ایران,1401-1402,هفته 10,سپاهان,2,4,-2,0,0,https://video.varzesh3.com/video/262471/
1401/08/05,15:00,لیگ برتر ایران,1401-1402,هفته 11,ملوان,1,1,0,1,1,https://video.varzesh3.com/video/263021/
1401/09/29,15:00,لیگ برتر ایران,1401-1402,هفته 12,پیکان,1,0,1,3,0,https://video.varzesh3.com/video/267801/
1400/04/19,20:15,لیگ برتر ایران,1399-1400,هفته 27,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/235506/
1400/04/29,21:15,لیگ برتر ایران,1399-1400,هفته 28,آلومینیوم اراک,3,1,2,3,0,https://video.varzesh3.com/video/236040/
1400/05/03,21:15,لیگ برتر ایران,1399-1400,هفته 29,پرسپولیس,1,3,-2,0,0,https://video.varzesh3.com/video/236264/
1400/05/08,21:15,لیگ برتر ایران,1399-1400,هفته 30,سایپا,5,1,4,3,1,https://video.varzesh3.com/video/236508/
1400/06/23,20:30,لیگ نخبگان آسیا,2021,یک هشتم نهایی,النصر,0,1,-1,0,0,https://video.varzesh3.com/video/238540/
1400/07/28,16:00,لیگ برتر ایران,1400-1401,هفته 1,گل گهر سیرجان,1,4,-3,0,0,https://video.varzesh3.com/video/240229/
1400/08/03,18:00,لیگ برتر ایران,1400-1401,هفته 2,صنعت نفت آبادان,3,0,3,3,1,https://video.varzesh3.com/video/240531/
1400/08/08,18:00,لیگ برتر ایران,1400-1401,هفته 3,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/240780/
1400/08/14,16:00,لیگ برتر ایران,1400-1401,هفته 4,پیکان,1,2,-1,0,1,https://video.varzesh3.com/video/241127/
1400/08/28,18:00,لیگ برتر ایران,1400-1401,هفته 5,سپاهان,0,0,0,1,0,https://video.varzesh3.com/video/241874/
1400/09/03,15:00,لیگ برتر ایران,1400-1401,هفته 6,شهرخودرو مشهد,1,0,1,3,1,https://video.varzesh3.com/video/242121/
1400/09/09,16:00,لیگ برتر ایران,1400-1401,هفته 7,فولاد,0,0,0,1,0,https://video.varzesh3.com/video/242490/
