تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/08/11,17:30,لیگ برتر ایران,1403-1404,هفته 10,چادرملو اردکان,0,1,-1,0,0,https://video.varzesh3.com/video/357620/خلاصه-بازی-چادرملو-اردکان-1-ذوب-آهن-0
1403/09/04,16:15,جام حذفی ایران,,یک شانزدهم نهایی,هوادار,1,0,1,3,1,https://video.varzesh3.com/video/359718/خلاصه-بازی-ذوب-آهن-1-هوادار-0
1403/09/11,15:45,لیگ برتر ایران,1403-1404,هفته 11,شمس آذر قزوین,3,0,3,3,1,https://video.varzesh3.com/video/360333/خلاصه-بازی-ذوب-آهن-3-شمس-آذر-قزوین-0
1403/09/20,18:00,لیگ برتر ایران,1403-1404,هفته 12,استقلال خوزستان,0,0,0,1,0,https://video.varzesh3.com/video/361296/خلاصه-بازی-استقلال-خوزستان-0-ذوب-آهن-0
1403/10/01,17:30,لیگ برتر ایران,1403-1404,هفته 13,ملوان,1,0,1,3,1,https://video.varzesh3.com/video/362401/خلاصه-بازی-ذوب-آهن-1-ملوان-0
1403/10/07,16:15,لیگ برتر ایران,1403-1404,هفته 14,مس رفسنجان,2,1,1,3,0,https://video.varzesh3.com/video/363015/خلاصه-بازی-مس-رفسنجان-1-ذوب-آهن-2
1403/10/13,15:00,لیگ برتر ایران,1403-1404,هفته 15,نساجی مازندران,0,0,0,1,1,https://video.varzesh3.com/video/363647/خلاصه-بازی-ذوب-آهن-0-نساجی-مازندران-0
1403/11/02,16:45,لیگ برتر ایران,1403-1404,هفته 16,پرسپولیس,0,0,0,1,1,https://video.varzesh3.com/video/365685/خلاصه-بازی-ذوب-آهن-0-پرسپولیس-0
1403/11/08,16:00,لیگ برتر ایران,1403-1404,هفته 17,هوادار,0,0,0,1,0,https://video.varzesh3.com/video/366343/خلاصه-بازی-هوادار-0-ذوب-آهن-0
1403/11/13,16:00,لیگ برتر ایران,1403-1404,هفته 18,خیبر خرم آباد,2,2,0,1,1,https://video.varzesh3.com/video/366894/خلاصه-بازی-ذوب-آهن-2-خیبر-خرم-آباد-2
1403/11/18,16:10,لیگ برتر ایران,1403-1404,هفته 19,تراکتور,0,1,-1,0,1,https://video.varzesh3.com/video/367419/خلاصه-بازی-ذوب-آهن-0-تراکتور-1
1403/11/26,15:00,جام حذفی ایران,,یک هشتم نهایی,ملوان,0,1,-1,0,0,https://video.varzesh3.com/video/368293/خلاصه-بازی-ملوان-0-ذوب-آهن-0
1403/12/03,15:00,لیگ برتر ایران,1403-1404,هفته 20,سپاهان,1,4,-3,0,0,https://video.varzesh3.com/video/368904/خلاصه-بازی-سپاهان-4-ذوب-آهن-1
1403/12/10,15:00,لیگ برتر ایران,1403-1404,هفته 21,فولاد,3,0,3,3,1,https://video.varzesh3.com/video/369613/خلاصه-بازی-ذوب-آهن-3-فولاد-خوزستان-0
1403/12/17,19:00,لیگ برتر ایران,1403-1404,هفته 22,آلومینیوم اراک,0,2,-2,0,0,https://video.varzesh3.com/video/370244/خلاصه-بازی-آلومینیوم-اراک-2-ذوب-آهن-0
1403/12/26,19:00,لیگ برتر ایران,1403-1404,هفته 23,استقلال,1,1,0,1,1,https://video.varzesh3.com/video/370945/خلاصه-بازی-ذوب-آهن-1-استقلال-1
1404/01/09,18:45,لیگ برتر ایران,1403-1404,هفته 24,گل گهر سیرجان,2,0,2,3,0,https://video.varzesh3.com/video/371890/خلاصه-بازی-گل-گهرسیرجان-0-ذوب-آهن-2
1404/01/15,16:00,لیگ برتر ایران,1403-1404,هفته 25,چادرملو اردکان,0,1,-1,0,1,https://video.varzesh3.com/video/372338/خلاصه-بازی-ذوب-آهن-0-چادرملو-اردکان-1
1404/01/22,17:00,لیگ برتر ایران,1403-1404,هفته 26,شمس آذر قزوین,1,1,0,1,0,https://video.varzesh3.com/video/372929/خلاصه-بازی-شمس-آذر-1-ذوب-آهن-1
1404/01/28,17:00,لیگ برتر ایران,1403-1404,هفته 27,استقلال خوزستان,1,0,1,3,1,https://video.varzesh3.com/video/373475/خلاصه-بازی-ذوب-آهن-1-استقلال-خوزستان-0
1404/02/12,18:30,لیگ برتر ایران,1403-1404,هفته 28,ملوان,3,3,0,1,0,https://video.varzesh3.com/video/374931/خلاصه-بازی-ملوان-3-ذوب-آهن-3
1404/02/18,19:30,لیگ برتر ایران,1403-1404,هفته 29,مس رفسنجان,2,1,1,3,1,https://video.varzesh3.com/video/375613/خلاصه-بازی-ذوب-آهن-2-مس-رفسنجان-1
1404/02/25,18:00,لیگ برتر ایران,1403-1404,هفته 30,نساجی مازندران,3,0,3,3,0,https://video.varzesh3.com/video/376389/خلاصه-بازی-نساجی-0-ذوب-آهن-3
1404/04/29,17:30,دوستانه,باشگاهی,,ترابزون اسپور,0,4,-4,0,0,https://video.varzesh3.com/video/380773/خلاصه-بازی-ترابزون-اسپور-4-ذوب-آهن-0
1402/12/09,17:15,لیگ برتر ایران,1402-1403,هفته 18,پرسپولیس,0,1,-1,0,1,https://video.varzesh3.com/video/326003/خلاصه-بازی-ذوب-آهن-0-پرسپولیس-1
1402/12/17,18:26,لیگ برتر ایران,1402-1403,هفته 19,هوادار,2,2,0,1,0,https://video.varzesh3.com/video/326686/خلاصه-بازی-هوادار-2-ذوب-آهن-2
1402/12/23,18:45,لیگ برتر ایران,1402-1403,هفته 20,استقلال خوزستان,0,2,-2,0,1,https://video.varzesh3.com/video/327305/خلاصه-بازی-ذوب-آهن-0-استقلال-خوزستان-2
1402/12/27,18:45,لیگ برتر ایران,1402-1403,هفته 21,مس رفسنجان,2,2,0,1,0,https://video.varzesh3.com/video/327715/خلاصه-بازی-مس-رفسنجان-2-ذوب-آهن-2
1403/01/18,19:00,لیگ برتر ایران,1402-1403,هفته 22,شمس آذر قزوین,0,2,-2,0,1,https://video.varzesh3.com/video/329092/خلاصه-بازی-ذوب-آهن-0-شمس-آذر-2
1403/01/24,17:00,لیگ برتر ایران,1402-1403,هفته 23,تراکتور,4,1,3,3,0,https://video.varzesh3.com/video/329729/خلاصه-بازی-تراکتور-1-ذوب-آهن-4
1403/01/29,16:30,لیگ برتر ایران,1402-1403,هفته 17,سپاهان,0,1,-1,0,0,https://video.varzesh3.com/video/330237/خلاصه-بازی-سپاهان-1-ذوب-آهن-0
1403/02/02,16:30,لیگ برتر ایران,1402-1403,هفته 24,آلومینیوم اراک,2,0,2,3,1,https://video.varzesh3.com/video/330623/خلاصه-بازی-ذوب-آهن-1-آلومینیوم-0
1403/02/07,18:30,جام حذفی ایران,1402-1403,یک هشتم نهایی,تراکتور,1,1,0,1,0,https://video.varzesh3.com/video/331115/خلاصه-بازی-تراکتور-1-3-ذوب-آهن-1-1
1403/02/12,18:15,لیگ برتر ایران,1402-1403,هفته 25,نساجی مازندران,0,2,-2,0,1,https://video.varzesh3.com/video/331608/خلاصه-بازی-ذوب-آهن-0-نساجی-مازندران-2
1403/02/17,20:30,لیگ برتر ایران,1402-1403,هفته 26,استقلال,1,2,-1,0,0,https://video.varzesh3.com/video/332042/خلاصه-بازی-استقلال-2-ذوب-آهن-1
1403/02/24,18:15,لیگ برتر ایران,1402-1403,هفته 27,پیکان,1,0,1,3,1,https://video.varzesh3.com/video/332676/خلاصه-بازی-ذوب-آهن-1-پیکان-0
1403/03/04,19:45,لیگ برتر ایران,1402-1403,هفته 28,فولاد,0,1,-1,0,0,https://video.varzesh3.com/video/333604/خلاصه-بازی-فولاد-1-ذوب-آهن-0
1403/03/08,20:00,لیگ برتر ایران,1402-1403,هفته 29,صنعت نفت آبادان,2,1,1,3,1,https://video.varzesh3.com/video/334055/خلاصه-بازی-ذوب-آهن-2-صنعت-نفت-آبادان-1
1403/03/12,19:00,لیگ برتر ایران,1402-1403,هفته 30,گل گهر سیرجان,2,1,1,3,0,https://video.varzesh3.com/video/334507/خلاصه-بازی-گل-گهرسیرجان-1-ذوب-آهن-2
1403/05/25,19:30,لیگ برتر ایران,1403-1404,هفته 1,پرسپولیس,1,1,0,1,0,https://video.varzesh3.com/video/350162/خلاصه-بازی-پرسپولیس-1-ذوب-آهن-1
1403/06/02,19:15,لیگ برتر ایران,1403-1404,هفته 2,هوادار,0,0,0,1,1,https://video.varzesh3.com/video/351033/خلاصه-بازی-ذوب-آهن-0-هوادار-0
1403/06/08,19:30,لیگ برتر ایران,1403-1404,هفته 3,خیبر خرم آباد,1,1,0,1,0,https://video.varzesh3.com/video/351571/خلاصه-بازی-خیبر-خرم-آباد-1-ذوب-آهن-1
1403/06/23,19:30,لیگ برتر ایران,1403-1404,هفته 4,تراکتور,1,0,1,3,0,https://video.varzesh3.com/video/352816/خلاصه-بازی-تراکتور-0-ذوب-آهن-1
1403/07/01,19:00,لیگ برتر ایران,1403-1404,هفته 5,سپاهان,1,1,0,1,1,https://video.varzesh3.com/video/353777/خلاصه-بازی-ذوب-آهن-1-سپاهان-1
1403/07/07,19:00,لیگ برتر ایران,1403-1404,هفته 6,فولاد,0,1,-1,0,0,https://video.varzesh3.com/video/354427/خلاصه-بازی-فولاد-1-ذوب-آهن-0
1403/07/13,18:30,لیگ برتر ایران,1403-1404,هفته 7,آلومینیوم اراک,0,4,-4,0,1,https://video.varzesh3.com/video/354912/خلاصه-بازی-ذوب-آهن-0-آلومینیوم-4
1403/07/27,18:30,لیگ برتر ایران,1403-1404,هفته 8,استقلال,3,0,3,3,0,https://video.varzesh3.com/video/356118/خلاصه-بازی-استقلال-0-ذوب-آهن-3
1403/08/04,17:45,لیگ برتر ایران,1403-1404,هفته 9,گل گهر سیرجان,0,2,-2,0,1,https://video.varzesh3.com/video/356769/خلاصه-بازی-ذوب-آهن-0-گل-گهرسیرجان-2
1402/01/11,19:30,لیگ برتر ایران,1401-1402,هفته 24,استقلال,0,2,-2,0,0,https://video.varzesh3.com/video/276407/خلاصه-بازی-استقلال-2-ذوب-آهن-0
1402/01/18,19:30,لیگ برتر ایران,1401-1402,هفته 25,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/277119/خلاصه-بازی-ذوب-آهن-1-گل-گهر-0
